ProblemNo,Connection,Cost
0,19269 : 2 -> 22 ; 14266 : 19 -> 22 ; 23010 : 15 -> 16,24
1,15111 : 11 -> 13 ; 23010 : 38 -> 43,7
2,14266 : 8 -> 15 ; 23010 : 6 -> 7 ; 19269 : 21 -> 22 ; 14266 : 19 -> 20 ; 19269 : 23 -> 24 ; 23010 : 19 -> 25,17
3,14307 : 3 -> 7 ; 14203 : 7 -> 10 ; 14307 : 14 -> 15 ; 54253 : 17 -> 18 ; 14203 : 12 -> 15 ; 14307 : 24 -> 27,15
4,14313 : 4 -> 11,7
5,14266 : 29 -> 31 ; 19269 : 24 -> 31,9
6,14203 : 2 -> 10 ; 14307 : 14 -> 15 ; 54253 : 17 -> 18 ; 14203 : 12 -> 16 ; 14307 : 30 -> 40 ; 15043 : 2 -> 10,32
7,19269 : 28 -> 32,4
8,14266 : 19 -> 20 ; 19269 : 23 -> 24 ; 14204 : 1 -> 5 ; 14266 : 36 -> 37 ; 14204 : 7 -> 12,12
9,15043 : 4 -> 6,2
10,54702 : 11 -> 12 ; 19108 : 14 -> 15 ; 54702 : 1 -> 3 ; 11013 : 25 -> 26 ; 12008 : 2 -> 3 ; 12269 : 1 -> 2 ; 11037 : 8 -> 9 ; 10002 : 1 -> 10 ; 58870 : 19 -> 20,18
11,58111 : 66 -> 67 ; 22866 : 12 -> 13 ; 12708 : 4 -> 5 ; 12511 : 26 -> 27 ; 17036 : 2 -> 3,5
12,58865 : 2 -> 3 ; 10001 : 2 -> 12 ; 12142 : 7 -> 8 ; 01082 : 1 -> 2 ; 16733 : 31 -> 32 ; 22210 : 6 -> 7 ; 12267 : 1 -> 2 ; 19017 : 18 -> 19 ; 59548 : 43 -> 44,18
13,14660 : 17 -> 18 ; 15715 : 29 -> 30 ; 22696 : 2 -> 3 ; 12217 : 16 -> 17 ; 13424 : 6 -> 8 ; 12824 : 6 -> 7 ; 08891 : 5 -> 6,8
14,57305 : 7 -> 8 ; 17023 : 5 -> 6 ; 12798 : 23 -> 24 ; 12649 : 4 -> 5 ; 02882 : 5 -> 7 ; 22695 : 4 -> 5 ; 12284 : 3 -> 4 ; 56641 : 1 -> 2,9
15,12937 : 1 -> 2 ; 22904 : 3 -> 4 ; 12268 : 1 -> 2 ; 22209 : 1 -> 2 ; 22806 : 1 -> 2 ; 12282 : 3 -> 4 ; 12350 : 5 -> 6 ; 12306 : 7 -> 8 ; 13050 : 84 -> 85,9
16,17234 : 19 -> 20 ; 17036 : 7 -> 8 ; 12762 : 3 -> 4 ; 12296 : 23 -> 24 ; 02853 : 5 -> 7 ; 12508 : 39 -> 40 ; 06335 : 49 -> 50 ; 16308 : 18 -> 19,9
17,18234 : 38 -> 39 ; 11053 : 8 -> 9 ; 11033 : 15 -> 16 ; 11070 : 2 -> 4,5
18,53050 : 47 -> 48 ; 02510 : 8 -> 9 ; 12262 : 2 -> 3 ; 02512 : 22 -> 24 ; 12218 : 8 -> 9 ; 12284 : 4 -> 5 ; 12218 : 17 -> 18 ; 12432 : 17 -> 18 ; 12081 : 15 -> 16 ; 16128 : 20 -> 22 ; 16526 : 47 -> 48,13
19,51421 : 52 -> 54 ; 11202 : 15 -> 16 ; 11046 : 29 -> 31 ; 11037 : 4 -> 5 ; 12656 : 28 -> 29,7
20,14266 : 45 -> 46 ; 14203 : 3 -> 8 ; 14307 : 10 -> 11,107
21,13346 : 6 -> 8 ; 23010 : 38 -> 45,155
22,23010 : 55 -> 61,166
23,14266 : 49 -> 50 ; 14203 : 1 -> 8 ; 14307 : 10 -> 12 ; 54253 : 14 -> 15 ; 14307 : 13 -> 14 ; 54253 : 16 -> 17 ; 14307 : 15 -> 16 ; 14203 : 11 -> 12 ; 54253 : 18 -> 19 ; 14307 : 18 -> 20 ; 54253 : 21 -> 22 ; 14307 : 21 -> 22 ; 14203 : 14 -> 15 ; 14307 : 24 -> 28 ; 54253 : 29 -> 30 ; 14307 : 29 -> 32,367
24,19269 : 16 -> 21 ; 14266 : 17 -> 18 ; 23010 : 8 -> 9 ; 14266 : 19 -> 20 ; 23010 : 12 -> 13 ; 14266 : 21 -> 22 ; 14308 : 8 -> 9 ; 23010 : 17 -> 24,679
25,14313 : 25 -> 27 ; 14266 : 19 -> 20 ; 23010 : 12 -> 13 ; 14266 : 21 -> 22 ; 14308 : 8 -> 9 ; 23010 : 17 -> 19 ; 14266 : 31 -> 32 ; 14204 : 2 -> 3 ; 14266 : 33 -> 34 ; 14204 : 4 -> 5 ; 14266 : 36 -> 37 ; 14204 : 7 -> 8 ; 14266 : 38 -> 39 ; 14204 : 9 -> 11 ; 14266 : 42 -> 43 ; 14204 : 12 -> 13 ; 14266 : 44 -> 46 ; 14204 : 14 -> 16 ; 23010 : 38 -> 48,709
26,23010 : 61 -> 65,101
27,15111 : 2 -> 13 ; 14203 : 1 -> 8 ; 14307 : 10 -> 12 ; 54253 : 14 -> 15 ; 14307 : 13 -> 14,373
28,14266 : 45 -> 46 ; 14203 : 3 -> 8 ; 14307 : 10 -> 12 ; 54253 : 14 -> 15 ; 14307 : 13 -> 14 ; 54253 : 16 -> 17 ; 14307 : 15 -> 16 ; 14203 : 11 -> 12 ; 54253 : 18 -> 19 ; 14307 : 18 -> 20 ; 54253 : 21 -> 22 ; 14307 : 21 -> 22,184
29,15111 : 10 -> 13 ; 14203 : 1 -> 6,187
